"GpsTime","Y","X","Z","Pitch","Azimuth"
407110.650000,3289433.149322,276005.847868,537.878738,1.261462,-90.197033
407110.660000,3289433.164214,276005.173763,537.867068,1.262921,-90.195603
407110.670000,3289433.179096,276004.499639,537.855386,1.264405,-90.194149
407110.680000,3289433.193968,276003.825495,537.843692,1.265911,-90.192673
407110.690000,3289433.208830,276003.151332,537.831984,1.267439,-90.191175
407110.700000,3289433.223681,276002.477150,537.820261,1.268990,-90.189659
407110.710000,3289433.238522,276001.802948,537.808524,1.270561,-90.188125
407110.720000,3289433.253351,276001.128725,537.796771,1.272151,-90.186575
407110.730000,3289433.268170,276000.454482,537.785001,1.273762,-90.185010
407110.740000,3289433.282977,275999.780218,537.773214,1.275391,-90.183432
407110.750000,3289433.297772,275999.105933,537.761409,1.277037,-90.181842
407110.760000,3289433.312555,275998.431628,537.749586,1.278701,-90.180243
407110.770000,3289433.327326,275997.757300,537.737743,1.280381,-90.178635
407110.780000,3289433.342084,275997.082951,537.725879,1.282076,-90.177021
407110.790000,3289433.356830,275996.408580,537.713995,1.283786,-90.175401
407110.800000,3289433.371562,275995.734187,537.702089,1.285511,-90.173777
407110.810000,3289433.386282,275995.059771,537.690161,1.287248,-90.172152
407110.820000,3289433.400988,275994.385333,537.678209,1.288998,-90.170525
407110.830000,3289433.415680,275993.710872,537.666234,1.290760,-90.168900
407110.840000,3289433.430358,275993.036387,537.654234,1.292533,-90.167277
407110.850000,3289433.445022,275992.361879,537.642208,1.294317,-90.165657
407110.860000,3289433.459672,275991.687347,537.630156,1.296110,-90.164044
407110.870000,3289433.474307,275991.012792,537.618077,1.297911,-90.162438
407110.880000,3289433.488927,275990.338212,537.605971,1.299721,-90.160840
407110.890000,3289433.503532,275989.663607,537.593836,1.301538,-90.159252
407110.900000,3289433.518121,275988.988978,537.581672,1.303362,-90.157676
407110.910000,3289433.532695,275988.314324,537.569478,1.305191,-90.156114
407110.920000,3289433.547253,275987.639645,537.557253,1.307026,-90.154566
407110.930000,3289433.561795,275986.964940,537.544997,1.308865,-90.153035
407110.940000,3289433.576320,275986.290210,537.532708,1.310707,-90.151521
407110.950000,3289433.590829,275985.615453,537.520387,1.312552,-90.150027
